dbac,1705561389214174,6.0095696,0.78269249,0.4533785,31,40
4619,1705561389312521,0.87973022,6.5371876,0.79270291,19,41
dbac,1705561389314316,5.999733,0.787365,0.45861152,32,41
4619,1705561389412654,0.89394969,6.5087748,0.80892748,22,42
dbac,1705561389414412,6.0004873,0.78721976,0.47023341,33,42
4619,1705561389512640,0.89653504,6.4957604,0.79759526,18,43
dbac,1705561389514413,6.0133958,0.777954,0.46642852,30,43
4619,1705561389612655,0.89001173,6.496244,0.79540288,18,44
dbac,1705561389614353,6.0113482,0.78705049,0.45885155,30,44
4619,1705561389712636,0.88202864,6.5122352,0.78277379,17,45
dbac,1705561389714423,6.0122752,0.78866994,0.44753021,29,45
4619,1705561389812914,0.86832178,6.4781847,0.78882545,15,46
dbac,1705561389814064,6.0161562,0.7904039,0.44906336,30,46
4619,1705561389912952,0.87224483,6.4761372,0.79665089,19,47
dbac,1705561389914224,6.0251226,0.78826213,0.44401306,29,47
4619,1705561390012970,0.8730191,6.5052156,0.78388995,17,48
dbac,1705561390014114,6.0356555,0.78226984,0.44027022,29,48
4619,1705561390112940,0.87805867,6.464788,0.79953569,19,49
dbac,1705561390114176,6.036869,0.78123021,0.43955991,30,49
4619,1705561390212930,0.88811916,6.4569335,0.80242437,20,50
dbac,1705561390214084,6.0335803,0.78254831,0.44222757,30,50
4619,1705561390313134,0.88477707,6.4512815,0.80439466,18,51
dbac,1705561390314385,6.0152116,0.79568464,0.4427563,31,51
4619,1705561390413106,0.89346427,6.4465942,0.81460565,21,52
dbac,1705561390414247,6.0220394,0.79369432,0.44104108,29,52
4619,1705561390512647,0.886936,6.48755,0.79937994,18,53
dbac,1705561390513801,6.0280671,0.78043681,0.4351213,29,53
4619,1705561390612658,0.89462245,6.5082288,0.79793775,21,54
dbac,1705561390613795,6.02832,0.78124219,0.42085317,28,54
dbac,1705561390712614,6.0172911,0.79340428,0.42907977,31,55
4619,1705561390713752,0.90618467,6.497201,0.81011951,22,55
4619,1705561390812650,0.90416062,6.4876761,0.80433494,19,56
dbac,1705561390813802,6.01016,0.79424125,0.42465732,30,56
4619,1705561390912610,0.8899,6.4941449,0.80322158,17,57
dbac,1705561390913772,6.0174,0.79751039,0.43426883,30,57
dbac,1705561391012588,6.0132904,0.80868053,0.44160753,31,58
4619,1705561391013710,0.8747012,6.4409351,0.81640244,16,58
4619,1705561391112501,0.88880926,6.4244609,0.8218295,21,59
dbac,1705561391113659,6.0073214,0.8068561,0.44559291,31,59
4619,1705561391212671,0.899083,6.4610391,0.81228268,21,60
