da02,1702569618265760,6.1630955,0.60618061,0.69959509,36,1038
85ab,1702569618365258,0.790915,6.3917565,0.26287642,10,1039
da02,1702569619265263,6.1585946,0.6179328,0.71595174,40,1048
85ab,1702569619365229,0.79411948,6.3750873,0.26958179,9,1049
da02,1702569620265230,6.1542988,0.62431258,0.71178162,38,1058
85ab,1702569620365252,0.80904353,6.3872375,0.27495942,12,1059
da02,1702569621265285,6.153553,0.611483,0.71521747,39,1068
85ab,1702569621365714,0.79711831,6.3994865,0.26465315,13,1069
da02,1702569622265286,6.14854,0.60834038,0.72561014,41,1078
85ab,1702569622365530,0.7947017,6.4192963,0.25816739,14,1079
da02,1702569623265274,6.1518736,0.59194529,0.73223376,40,1088
85ab,1702569623365792,0.79250318,6.3790827,0.27753296,10,1089
da02,1702569624265275,6.160995,0.58465928,0.75394088,42,1098
85ab,1702569624365268,0.78159958,6.3988385,0.26369703,14,1099
da02,1702569625265279,6.1605949,0.58834422,0.74389529,38,1108
85ab,1702569625365231,0.77792674,6.35885,0.2595754,9,1109
da02,1702569626265284,6.1555429,0.60029316,0.75204378,41,1118
85ab,1702569626365278,0.78143722,6.3419466,0.26347846,9,1119
da02,1702569627265284,6.168066,0.606171,0.75042397,38,1128
85ab,1702569627365437,0.79999179,6.3581839,0.258753,12,1129
da02,1702569628264384,6.1648474,0.60821944,0.74669719,39,1138
85ab,1702569628364337,0.80313307,6.3680916,0.26600862,11,1139
da02,1702569629265640,6.1636014,0.60608608,0.75141495,40,1148
85ab,1702569629365269,0.80953491,6.3760324,0.2779381,10,1149
da02,1702569630265219,6.1586232,0.59532058,0.73779786,39,1158
85ab,1702569630365075,0.81329316,6.3209124,0.29058772,12,1159
da02,1702569631265201,6.1570826,0.60521311,0.73308134,38,1168
85ab,1702569631365136,0.79372704,6.3240318,0.29208481,8,1169
da02,1702569632265189,6.155849,0.60146046,0.72912872,39,1178
85ab,1702569632365158,0.794758,6.3704243,0.27667916,16,1179
da02,1702569633265201,6.1590581,0.61082828,0.7281751,38,1188
85ab,1702569633365098,0.79034215,6.3454151,0.27796718,9,1189
da02,1702569634265132,6.1662765,0.607734,0.72784287,38,1198
85ab,1702569634365103,0.80853564,6.3599358,0.26795831,13,1199
da02,1702569635265256,6.1657348,0.60764939,0.72069854,38,1208
85ab,1702569635365156,0.80191612,6.3916287,0.26400918,14,1209
da02,1702569636265152,6.1643949,0.59761435,0.72917593,40,1218
85ab,1702569636365088,0.812799,6.3798685,0.25984985,10,1219
da02,1702569637265169,6.164011,0.61198461,0.74579489,41,1228
85ab,1702569637365108,0.83265769,6.3760142,0.26496318,11,1229
da02,1702569638265160,6.166923,0.62481552,0.76604432,41,1238
85ab,1702569638365226,0.806101,6.4034958,0.25084755,15,1239
da02,1702569639264401,6.17592,0.62635648,0.75087315,37,1248
85ab,1702569639364330,0.81255412,6.386755,0.25708148,9,1249
da02,1702569640265242,6.1687183,0.63448709,0.73642921,37,1258
85ab,1702569640365205,0.81369442,6.3870153,0.25812617,11,1259
da02,1702569641265143,6.1657524,0.6197322,0.739148,40,1268
85ab,1702569641365204,0.79559594,6.3976507,0.25362512,12,1269
da02,1702569642265182,6.1641893,0.62516057,0.752798,41,1278
85ab,1702569642365126,0.79585344,6.3494391,0.25875631,10,1279
da02,1702569643265199,6.17944,0.63491535,0.75029916,37,1288
85ab,1702569643365156,0.80113679,6.3423338,0.27187708,10,1289
da02,1702569644265171,6.1787996,0.63026965,0.75328469,40,1298
85ab,1702569644365232,0.82137525,6.3301291,0.27562883,11,1299
da02,1702569645265327,6.2885289,0.49338186,1.0648122,68,1308
